record_id,plantation_id,plot_number,region,latitude,longitude,severity_index_pct,severity_class
1,PLN-001,1,Region 9,7.795809,122.051623,6.34,Low
2,PLN-001,2,Region 9,7.793514,122.061985,25.06,High
3,PLN-001,3,Region 9,7.782112,122.032628,9.47,Low
4,PLN-002,1,Region 10,8.768498,124.292988,29.55,High
5,PLN-002,2,Region 10,8.759507,124.289922,7.55,Low
6,PLN-002,3,Region 10,8.751054,124.297437,21.84,Moderate
7,PLN-003,1,Region 11,7.207244,125.806647,8.24,Low
8,PLN-003,2,Region 11,7.27282,125.790087,15.68,Moderate
9,PLN-003,3,Region 11,7.237076,125.769455,30.08,High
10,PLN-004,1,Region 12,6.312145,124.717771,23.75,Moderate
11,PLN-004,2,Region 12,6.304731,124.729713,1.61,Low
12,PLN-004,3,Region 12,6.278266,124.722901,21.18,Moderate
13,PLN-005,1,Region 13,9.074726,126.17043,31.92,High
14,PLN-005,2,Region 13,9.069691,126.176138,29.15,High
15,PLN-005,3,Region 13,9.07927,126.156201,53.37,High
16,PLN-006,1,Region 9,7.901164,121.819311,22.59,Moderate
17,PLN-006,2,Region 9,7.928597,121.830723,8.94,Low
18,PLN-006,3,Region 9,7.927092,121.829915,29.3,High
19,PLN-007,1,Region 10,8.055893,124.611878,75.05,Critical
20,PLN-007,2,Region 10,8.05047,124.608486,80.7,Critical
21,PLN-007,3,Region 10,8.04529,124.619736,61.56,Critical
22,PLN-008,1,Region 11,7.373584,125.660742,13.86,Moderate
23,PLN-008,2,Region 11,7.382021,125.646365,20.42,Moderate
24,PLN-008,3,Region 11,7.380683,125.683322,15.01,Moderate
25,PLN-009,1,Region 12,6.58076,125.025385,30.3,High
26,PLN-009,2,Region 12,6.558609,125.025686,4.96,Low
27,PLN-009,3,Region 12,6.562394,125.037635,22.3,Moderate
28,PLN-010,1,Region 13,8.66715,125.791216,51.32,High
29,PLN-010,2,Region 13,8.676353,125.783488,43.67,High
30,PLN-010,3,Region 13,8.690765,125.782714,76.21,Critical
31,PLN-011,1,Region 9,7.815086,123.092224,5.83,Low
32,PLN-011,2,Region 9,7.841052,123.065948,9.48,Low
33,PLN-011,3,Region 9,7.822023,123.074149,26.72,High
34,PLN-012,1,Region 10,8.354011,124.453485,62.97,Critical
35,PLN-012,2,Region 10,8.343663,124.44543,80.87,Critical
36,PLN-012,3,Region 10,8.352565,124.433541,68.58,Critical
37,PLN-013,1,Region 11,7.193583,126.008467,13.37,Moderate
38,PLN-013,2,Region 11,7.205662,126.00515,4.66,Low
39,PLN-013,3,Region 11,7.197049,126.022969,10.97,Moderate
40,PLN-014,1,Region 12,6.373204,124.689649,8.98,Low
41,PLN-014,2,Region 12,6.378774,124.691856,31.73,High
42,PLN-014,3,Region 12,6.388456,124.698892,6.7,Low
43,PLN-015,1,Region 13,8.853546,125.895955,41.19,High
44,PLN-015,2,Region 13,8.850848,125.895841,85.64,Critical
45,PLN-015,3,Region 13,8.863105,125.922123,66.72,Critical
46,PLN-016,1,Region 9,7.84174,122.361222,14.18,Moderate
47,PLN-016,2,Region 9,7.865283,122.373572,6.54,Low
48,PLN-016,3,Region 9,7.871585,122.384195,21.5,Moderate
49,PLN-017,1,Region 10,8.10632,124.615842,61.21,Critical
50,PLN-017,2,Region 10,8.110999,124.630259,35.52,High
51,PLN-017,3,Region 10,8.095469,124.611132,55.38,High
52,PLN-018,1,Region 11,7.103855,125.572243,21.67,Moderate
53,PLN-018,2,Region 11,7.058959,125.612963,25.69,High
54,PLN-018,3,Region 11,7.097647,125.624219,10.88,Moderate
55,PLN-019,1,Region 12,6.766293,124.736524,22.02,Moderate
56,PLN-019,2,Region 12,6.784879,124.749598,10.43,Moderate
57,PLN-019,3,Region 12,6.792715,124.740515,12.68,Moderate
58,PLN-020,1,Region 13,8.938787,126.063291,34.02,High
59,PLN-020,2,Region 13,8.946855,126.028553,55.16,High
60,PLN-020,3,Region 13,8.96164,126.050468,65.81,Critical
61,PLN-021,1,Region 9,8.26562,121.895267,6.9,Low
62,PLN-021,2,Region 9,8.262495,121.918528,7.41,Low
63,PLN-021,3,Region 9,8.249372,121.934018,30.68,High
64,PLN-022,1,Region 10,8.201101,124.536726,32.15,High
65,PLN-022,2,Region 10,8.189595,124.540445,76.86,Critical
66,PLN-022,3,Region 10,8.184361,124.568882,80.91,Critical
67,PLN-023,1,Region 11,7.400875,125.247909,28.2,High
68,PLN-023,2,Region 11,7.390196,125.246032,24.0,Moderate
69,PLN-023,3,Region 11,7.372665,125.251011,27.13,High
70,PLN-024,1,Region 12,6.203941,124.955629,5.38,Low
71,PLN-024,2,Region 12,6.1995,124.95773,10.48,Moderate
72,PLN-024,3,Region 12,6.225058,124.957066,12.29,Moderate
73,PLN-025,1,Region 13,8.765529,126.209183,21.8,Moderate
74,PLN-025,2,Region 13,8.779013,126.186949,27.79,High
75,PLN-025,3,Region 13,8.767114,126.19847,15.66,Moderate
76,PLN-026,1,Region 9,8.219691,122.662711,11.71,Moderate
77,PLN-026,2,Region 9,8.207563,122.65014,28.38,High
78,PLN-026,3,Region 9,8.212444,122.653466,5.44,Low
79,PLN-027,1,Region 10,7.763506,124.429593,15.09,Moderate
80,PLN-027,2,Region 10,7.730099,124.434151,26.47,High
81,PLN-027,3,Region 10,7.729274,124.391782,0.52,Low
82,PLN-028,1,Region 11,6.857383,125.038761,13.39,Moderate
83,PLN-028,2,Region 11,6.8795,125.039305,26.32,High
84,PLN-028,3,Region 11,6.854071,125.047718,18.84,Moderate
85,PLN-029,1,Region 12,6.661085,124.76068,13.53,Moderate
86,PLN-029,2,Region 12,6.680978,124.777925,7.56,Low
87,PLN-029,3,Region 12,6.693062,124.755149,30.61,High
88,PLN-030,1,Region 13,9.039014,125.870053,66.22,Critical
89,PLN-030,2,Region 13,9.041596,125.870484,63.8,Critical
90,PLN-030,3,Region 13,9.061439,125.86359,85.54,Critical
91,PLN-031,1,Region 9,7.927384,122.535545,7.05,Low
92,PLN-031,2,Region 9,7.922835,122.520584,26.23,High
93,PLN-031,3,Region 9,7.936368,122.548197,0.45,Low
94,PLN-032,1,Region 10,8.345143,125.078762,84.83,Critical
95,PLN-032,2,Region 10,8.344453,125.059325,79.57,Critical
96,PLN-032,3,Region 10,8.33193,125.069676,62.02,Critical
97,PLN-033,1,Region 11,7.26131,126.088901,7.45,Low
98,PLN-033,2,Region 11,7.24694,126.09697,15.22,Moderate
99,PLN-033,3,Region 11,7.243716,126.097294,30.17,High
100,PLN-034,1,Region 12,6.157158,125.043648,25.07,High
101,PLN-034,2,Region 12,6.130139,125.031272,16.03,Moderate
102,PLN-034,3,Region 12,6.147608,125.035318,24.57,Moderate
103,PLN-035,1,Region 13,9.153546,125.720534,53.07,High
104,PLN-035,2,Region 13,9.156881,125.727858,49.45,High
105,PLN-035,3,Region 13,9.151221,125.720703,73.55,Critical
106,PLN-036,1,Region 9,8.008695,122.118876,28.16,High
107,PLN-036,2,Region 9,8.011319,122.098893,14.94,Moderate
108,PLN-036,3,Region 9,8.016238,122.099671,14.57,Moderate
109,PLN-037,1,Region 10,8.399429,124.931634,62.64,Critical
110,PLN-037,2,Region 10,8.390655,124.942331,74.26,Critical
111,PLN-037,3,Region 10,8.408232,124.939076,78.37,Critical
112,PLN-038,1,Region 11,7.260735,125.655616,6.87,Low
113,PLN-038,2,Region 11,7.281018,125.67242,28.46,High
114,PLN-038,3,Region 11,7.255397,125.665259,7.75,Low
115,PLN-039,1,Region 12,6.620705,124.868528,28.22,High
116,PLN-039,2,Region 12,6.629442,124.879101,16.51,Moderate
117,PLN-039,3,Region 12,6.623056,124.909388,23.75,Moderate
118,PLN-040,1,Region 13,8.520886,126.198965,13.45,Moderate
119,PLN-040,2,Region 13,8.500565,126.197575,18.16,Moderate
120,PLN-040,3,Region 13,8.535675,126.208841,21.35,Moderate
121,PLN-041,1,Region 9,7.853527,122.702318,7.08,Low
122,PLN-041,2,Region 9,7.852183,122.694644,3.48,Low
123,PLN-041,3,Region 9,7.857152,122.685258,10.71,Moderate
124,PLN-042,1,Region 10,8.624406,124.580765,72.88,Critical
125,PLN-042,2,Region 10,8.644783,124.578192,31.58,High
126,PLN-042,3,Region 10,8.622432,124.577766,75.6,Critical
127,PLN-043,1,Region 11,7.196143,125.489225,18.16,Moderate
128,PLN-043,2,Region 11,7.19066,125.476021,4.26,Low
129,PLN-043,3,Region 11,7.201693,125.497037,11.56,Moderate
130,PLN-044,1,Region 12,6.405718,124.311183,15.9,Moderate
131,PLN-044,2,Region 12,6.416139,124.299245,24.98,Moderate
132,PLN-044,3,Region 12,6.438235,124.311763,16.71,Moderate
133,PLN-045,1,Region 13,9.039858,125.64589,58.65,High
134,PLN-045,2,Region 13,9.011673,125.618025,38.98,High
135,PLN-045,3,Region 13,9.024782,125.648768,42.73,High
136,PLN-046,1,Region 9,7.785583,122.694901,29.61,High
137,PLN-046,2,Region 9,7.804529,122.685593,6.88,Low
138,PLN-046,3,Region 9,7.778427,122.680959,3.51,Low
139,PLN-047,1,Region 10,8.297983,124.634683,43.23,High
140,PLN-047,2,Region 10,8.275377,124.633545,72.38,Critical
141,PLN-047,3,Region 10,8.257582,124.612048,69.86,Critical
142,PLN-048,1,Region 11,7.458535,125.61713,27.74,High
143,PLN-048,2,Region 11,7.453457,125.602143,0.5,Low
144,PLN-048,3,Region 11,7.437066,125.588804,19.15,Moderate
145,PLN-049,1,Region 12,6.764305,124.793412,26.15,High
146,PLN-049,2,Region 12,6.79966,124.798077,12.59,Moderate
147,PLN-049,3,Region 12,6.771503,124.81837,20.22,Moderate
148,PLN-050,1,Region 13,8.255721,125.67293,23.35,Moderate
149,PLN-050,2,Region 13,8.241484,125.659637,11.4,Moderate
150,PLN-050,3,Region 13,8.267996,125.643086,28.03,High
151,PLN-051,1,Region 9,7.692035,122.524472,28.15,High
152,PLN-051,2,Region 9,7.705406,122.549835,13.24,Moderate
153,PLN-051,3,Region 9,7.718432,122.537417,16.27,Moderate
154,PLN-052,1,Region 10,8.162168,124.88633,43.58,High
155,PLN-052,2,Region 10,8.170433,124.866167,53.41,High
156,PLN-052,3,Region 10,8.170112,124.881604,62.91,Critical
157,PLN-053,1,Region 11,7.204551,125.418494,21.56,Moderate
158,PLN-053,2,Region 11,7.213297,125.419261,8.4,Low
159,PLN-053,3,Region 11,7.219342,125.416323,3.0,Low
160,PLN-054,1,Region 12,6.506527,125.018651,10.71,Moderate
161,PLN-054,2,Region 12,6.51349,125.052355,26.1,High
162,PLN-054,3,Region 12,6.499531,125.0201,4.41,Low
163,PLN-055,1,Region 13,9.010271,125.27126,1.81,Low
164,PLN-055,2,Region 13,9.006832,125.307778,25.63,High
165,PLN-055,3,Region 13,9.051001,125.303932,15.02,Moderate
166,PLN-056,1,Region 9,7.347716,122.515479,10.31,Moderate
167,PLN-056,2,Region 9,7.376803,122.512837,21.37,Moderate
168,PLN-056,3,Region 9,7.360867,122.535125,18.35,Moderate
169,PLN-057,1,Region 10,8.078621,124.809086,80.56,Critical
170,PLN-057,2,Region 10,8.062288,124.820002,57.14,High
171,PLN-057,3,Region 10,8.066892,124.813695,36.25,High
172,PLN-058,1,Region 11,7.211063,125.609608,17.17,Moderate
173,PLN-058,2,Region 11,7.20654,125.578308,21.71,Moderate
174,PLN-058,3,Region 11,7.205152,125.568409,3.4,Low
175,PLN-059,1,Region 12,6.089276,125.159829,9.58,Low
176,PLN-059,2,Region 12,6.079052,125.159861,25.18,High
177,PLN-059,3,Region 12,6.078916,125.142123,14.57,Moderate
178,PLN-060,1,Region 13,8.996002,126.059016,44.43,High
179,PLN-060,2,Region 13,8.979002,126.053231,37.86,High
180,PLN-060,3,Region 13,8.982318,126.043676,72.51,Critical
181,PLN-061,1,Region 9,8.150517,122.598225,24.86,Moderate
182,PLN-061,2,Region 9,8.14129,122.594854,22.24,Moderate
183,PLN-061,3,Region 9,8.121286,122.592553,23.81,Moderate
184,PLN-062,1,Region 10,8.583196,125.449495,30.08,High
185,PLN-062,2,Region 10,8.565795,125.482923,23.67,Moderate
186,PLN-062,3,Region 10,8.542172,125.478283,10.34,Moderate
187,PLN-063,1,Region 11,6.722106,125.94171,9.67,Low
188,PLN-063,2,Region 11,6.741758,125.978924,4.45,Low
189,PLN-063,3,Region 11,6.743907,125.94021,2.45,Low
190,PLN-064,1,Region 12,6.5515,124.584721,8.39,Low
191,PLN-064,2,Region 12,6.539508,124.582999,11.63,Moderate
192,PLN-064,3,Region 12,6.552308,124.586587,12.81,Moderate
193,PLN-065,1,Region 13,8.829825,126.30629,1.75,Low
194,PLN-065,2,Region 13,8.809747,126.279734,31.21,High
195,PLN-065,3,Region 13,8.81904,126.321668,9.6,Low
196,PLN-066,1,Region 9,7.864365,122.342198,1.68,Low
197,PLN-066,2,Region 9,7.86393,122.350851,23.47,Moderate
198,PLN-066,3,Region 9,7.851123,122.364971,21.96,Moderate
199,PLN-067,1,Region 10,8.391492,124.728415,62.43,Critical
200,PLN-067,2,Region 10,8.401938,124.746141,54.3,High
201,PLN-067,3,Region 10,8.39273,124.734693,76.83,Critical
202,PLN-068,1,Region 11,7.553268,125.814962,8.27,Low
203,PLN-068,2,Region 11,7.559502,125.825392,10.53,Moderate
204,PLN-068,3,Region 11,7.550803,125.822333,8.21,Low
205,PLN-069,1,Region 12,6.580791,124.976909,23.62,Moderate
